blocking,0.074816,1401542980.964630
blocking,0.099844,1050216753.634203
blocking,0.072570,1444923899.644803
blocking,0.073071,1435016226.482767
blocking,0.121265,864695201.695184
blocking,0.110282,950813265.902331
blocking,0.095273,1100604398.468930
blocking,0.075668,1385760727.564558
blocking,0.080946,1295408098.161122
blocking,0.074288,1411497783.516810
blocking,0.113563,923341421.018340
blocking,0.117954,888968678.795463
blocking,0.120775,868205435.256018
blocking,0.106190,987452390.893454
blocking,0.115508,907796144.905138
blocking,0.100305,1045390204.712844
blocking,0.085993,1219371202.649178
blocking,0.081163,1291934003.799920
blocking,0.087713,1195456995.271943
blocking,0.110104,952350608.771773
